"ComunID","communidad","x"
213,"Alta Gracia",72
5,"Anachere",45
110,"Aperecito",76
85,"Boreyo",27
13,"Cachuela",49
15,"Campo Bello",153
19,"Catumare",46
200,"Cedral",100
22,"Chacal",129
233,"Charaton",86
235,"Chuchial",88
27,"Cosincho",145
249,"Cuchisama",80
114,"Cuverene",58
29,"Donoy",33
34,"Emeya",68
156,"Jamanchi Uno",104
215,"Jerusalen",45
40,"La Cruz",277
122,"Limoncito",57
203,"Majal",78
120,"Manguito",87
51,"Mision Fatima",346
202,"Monte Rosa",56
116,"Moseruna",65
56,"Munday",67
232,"Naranjalito",45
155,"Nuevo Mundo",62
121,"Pachiual",88
211,"Puerto Gregorio",67
209,"Puerto Mendez",103
201,"Puerto Triunfo",53
1,"San Antonio",188
230,"San Juan de Napoles",44
73,"San Miguel del Martirio",228
214,"San Ramon",58
231,"Santa Anita",65
81,"Tacuaral del Matto",272
124,"Triunfo",141
111,"Uishiricansi",45
